"Family" "Genus" "species" "Genus_species" "species_lsid" "author" "year" "parentheses" "distribution_WSC" "Notes" "Citation_WSC" "Measured" "Ecological_classification" "Guild" "Cave_deep" "Cave_entr" "SSH" "External" "Alien" "Verticality" "Pigment" "Eyeless" "Eyes_regression" "Leg_elongation" "Body_length_min_f" "Body_length_max_f" "Body_length_min_m" "Body_length_max_m" "Body_length_avg_f" "Body_length_avg_m" "Sexual_Size_Dimorphism" "Body_length_avg" "Prosoma_length_f" "Prosoma_length_m" "Prosoma_length_avg" "Prosoma_width_f" "Prosoma_width_m" "Prosoma_width_avg" "Prosoma_shape" "Prosoma_height_f" "Prosoma_height_m" "Prosoma_height_avg" "Profile_flattening" "Femur_I_length_f" "Femur_I_length_m" "Femur_I_length_avg" "Femur_elongation" "Tibia_I_length_f" "Tibia_I_length_m" "Tibia_I_length_avg" "Tibia_elongation" "Fang_length_f" "Fang_length_m" "Fang_length_avg" "Clypeus_height_f" "Clypeus_height_m" "Clypeus_height_avg" "AME" "AME_type" "ALE" "PME" "PLE" "Eye_reduction_ratio" "AME.ALE" "PME.PLE" "Capture_web" "Sensing_web" "No_web" "Tube_web" "Sheet_web" "Space_web" "Orb_web" "Ambush_hunter" "Active_hunter" "Food_specialist" "Dispersal"
"Tegenaria pontica" "Agelenidae" "Tegenaria" "pontica" "Tegenaria pontica" "urn:lsid:nmbe.ch:spidersp:021278" "Charitonov" 1947 0 "Georgia" "-" "Charitonov (1947)" "no" "Troglophile" "Sheet" 0 0 0 1 0 "Wall" "Fully" 0 0 0 NA NA NA NA 9.45 9.45 1 9.45 4.15 NA 4.15 2.9 NA 3.2 1.297 NA NA NA NA 4.15 NA 4.15 0.439 3.85 NA 3.85 0.407 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 1 1 0 0 0 0 0 0
"Tegenaria racovitzai" "Agelenidae" "Tegenaria" "racovitzai" "Tegenaria racovitzai" "urn:lsid:nmbe.ch:spidersp:021279" "Simon" 1907 0 "Spain, France" "-" "Bolzern et al (2013)" "no" "Troglophile" "Sheet" 0 0 0 1 0 "Wall" "Fully" 0 1 0 NA NA NA NA NA 8.92 NA 8.92 3.66 4.22 3.94 2.65 2.98 2.815 1.4 NA NA NA NA 4.41 5.24 4.825 0.541 3.9 5.26 4.58 0.513 NA NA NA 0.28 NA 0.28 0.11 "Present" 0.17 0.15 0.16 0.527 0.11 0.22 1 0 0 1 1 0 0 0 0 0 0
"Tegenaria silvestris" "Agelenidae" "Tegenaria" "silvestris" "Tegenaria silvestris" "urn:lsid:nmbe.ch:spidersp:021291" "L. Koch" 1872 0 "Europe" "-" "Bolzern et al (2013)" "no" "Troglophile" "Sheet" 1 1 1 1 0 "Wall" "Fully" 0 0 0 NA NA NA NA NA 8.35 NA 8.35 3.66 3.79 3.725 2.75 3.08 2.915 1.278 NA NA NA NA 4.15 4.71 4.43 0.531 3.98 4.59 4.285 0.513 NA NA NA 0.32 NA 0.32 0.16 "Present" 0.19 0.18 0.18 0.555 0.07 0.09 1 0 0 1 1 0 0 0 0 0 1
"Teloleptoneta synthetica" "Leptonetidae" "Teloleptoneta" "synthetica" "Teloleptoneta synthetica" "urn:lsid:nmbe.ch:spidersp:003101" "Machado" 1951 1 "Portugal" "-" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522; Machado, A, de B, & Ribera, C, (1986), Araneidos cavernicolas de Portugal: Familia Leptonetidae (Araneae), Actas X Congreso Internacional de Aracnologia, Barcelona 1: 355-366, " "no" "Troglobiont" "Space" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 1 1 NA 2.4 NA 2 2.4 2 0.833 2 0.8 0.76 0.78 0.63 0.63 0.63 1.238 NA NA NA NA 2.1 2.1 2.1 1.05 2.3 2.3 2.3 1.15 NA NA NA NA NA NA NA "Absent_Adaptation" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Tenuiphantes flavipes" "Linyphiidae" "Tenuiphantes" "flavipes" "Tenuiphantes flavipes" "urn:lsid:nmbe.ch:spidersp:012874" "Blackwall" 1854 1 "Europe, Turkey, Caucasus, Russia (Europe to South Siberia)" "-" "Blackwall, J. (1854a). Descriptions of some newly discovered species of Araneida. Annals and Magazine of Natural History (2) 13: 178. : Blackwall, J. (1864a). A history of the spiders of Great Britain and Ireland. Ray Society, London 2, 247. ; Roberts, M. J. (1987). The spiders of Great Britain and Ireland, Volume 2: Linyphiidae and check list. Harley Books, Colchester, England, p. 152." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 1 1.7 2.6 1.7 2.2 2.15 1.95 0.907 2.05 1.058 1.058 1.058 0.668 0.847 0.758 1.397 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Tenuiphantes zimmermanni" "Linyphiidae" "Tenuiphantes" "zimmermanni" "Tenuiphantes zimmermanni" "urn:lsid:nmbe.ch:spidersp:012902" "Bertkau" 1890 1 "Europe, Turkey" "-" "Helsdingen, P. J. van, Thaler, K. & Deltshev, C. (1977). The tenuis group of Lepthyphantes Menge (Araneae, Linyphiidae). Tijdschrift voor Entomologie 120: 23. ; Roberts, M. J. (1987). The spiders of Great Britain and Ireland, Volume 2: Linyphiidae and check list. Harley Books, Colchester, England, p.150 ." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 1 2.2 3.1 2.2 2.75 2.65 2.475 0.934 2.563 1.1 1.125 1.113 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Trichoncus pinguis" "Linyphiidae" "Trichoncus" "pinguis" "Trichoncus pinguis" "urn:lsid:nmbe.ch:spidersp:012983" "Simon" 1926 0 "Spain" "-" "Simon, E. (1926). Les arachnides de France. Synopsis générale et catalogue des espèces françaises de l'ordre des Araneae. Tome VI. 2e partie. Roret, Paris, 460." "no" "Troglobiont" "Ground" 1 1 0 0 0 "Soil + Wall" "Partly" 0 0 1 NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 0
"Troglohyphantes affinis" "Linyphiidae" "Troglohyphantes" "affinis" "Troglohyphantes affinis" "urn:lsid:nmbe.ch:spidersp:013007" "Kulczynski" 1914 1 "Croatia, Bosnia and Herzegovina" "Croatian Biospeleological Society collection: mesured sample CBSSAR 188 female" "Deeleman-Reinhold, C. L. (1978b). Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the Yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220.; Kratochvil_1934/Fage_1919/Kulczyński, W. (1914). Aranearum species novae minusve cognitae, in montibus Kras dictis a Dre C. Absolon aliisque collectae. Bulletin International de l'Academie des Sciences de Cracovie 1914: 353-387, pl. 16." "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 2.37 2.87 2.1 2.25 2.62 2.175 0.83 2.398 1.04 0.95 0.995 0.84 0.72 0.78 1.276 0.386 NA NA NA 2.115 2.06 2.088 0.871 2.12 2.16 2.14 0.893 0.412 NA NA NA NA NA NA "Absent_Adaptation" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes alluaudi" "Linyphiidae" "Troglohyphantes" "alluaudi" "Troglohyphantes alluaudi" "urn:lsid:nmbe.ch:spidersp:013010" "Fage" 1919 0 "Spain" "-" "Fage1919/Deeleman_Reinhold_1978b" "yes" "Troglophile" "Sheet" 1 0 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 NA 3.7 NA 3.5 3.7 3.5 0.946 3.6 NA NA NA NA NA NA NA NA NA NA NA 2.9 2.8 2.85 0.792 2.9 3.06 2.98 0.828 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes bolognai" "Linyphiidae" "Troglohyphantes" "bolognai" "Troglohyphantes bolognai" "urn:lsid:nmbe.ch:spidersp:013014" "Brignoli" 1975 0 "Italy" "-" "Brignoli_1975c/Brignoli_1975o/Isaia&Pantini_2010" "yes" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 2.87 2.87 2.73 2.73 2.87 2.73 0.951 2.8 1 1.35 1.175 0.95 1.2 1.075 1.093 0.394 0.567 0.481 0.409 2.07 2.15 2.11 0.754 2.07 2.19 2.13 0.761 NA NA NA 0.159 0.235 0.197 0.02 "Present" 0.038 0.03 0.046 0.17 0.092 0.092 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes bornensis" "Linyphiidae" "Troglohyphantes" "bornensis" "Troglohyphantes bornensis" "urn:lsid:nmbe.ch:spidersp:041394" "Isaia & Pantini" 2008 0 "Italy" "-" "Isaia&Pantini_2008" "yes" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 NA 3.33 NA 2.6 3.33 2.6 0.781 2.965 1.2 1.19 1.195 1.06 1.06 1.06 1.127 0.462 0.431 0.447 0.374 2.23 2.32 2.275 0.767 2.38 2.68 2.53 0.853 NA NA NA 0.178 0.179 0.179 0.022 "Present" 0.048 0.037 0.05 0.22 0.083 0.08 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes boudewijni" "Linyphiidae" "Troglohyphantes" "boudewijni" "Troglohyphantes boudewijni" "urn:lsid:nmbe.ch:spidersp:013016" "Deeleman-Reinhold" 1974 0 "Montenegro" "-" "Deeleman-Reinhold, C. L. (1978b). Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the Yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220." "yes" "Troglophile" "Sheet" 1 1 0 0 0 "Soil + Wall" "Variable" 0 0 1 NA 2.59 NA 2.4 2.59 2.4 0.927 2.495 1.05 1.1 1.075 0.96 0.91 0.935 1.15 0.373 0.351 NA NA 2.64 2.5 2.57 1.03 2.74 2.74 2.74 1.098 0.285 0.299 NA 0.109 0.15 0.13 0.035 "Present" NA 0.073 0.07 0.457 NA 0.045 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes brevipes" "Linyphiidae" "Troglohyphantes" "brevipes" "Troglohyphantes brevipes" "urn:lsid:nmbe.ch:spidersp:013017" "Deeleman-Reinhold" 1978 0 "Bosnia and Herzegovina" "Croatian Biospeleological Society collection: mesured samples CBSSAR 5230 female" "Deeleman-Reinhold_1978b" "yes" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 2.98 3.02 NA 2.68 3 2.68 0.893 2.84 1.39 1.2 1.295 1.15 1.01 1.08 1.199 0.469 NA NA NA 1.92 1.58 1.75 0.616 1.92 1.68 1.8 0.634 0.334 NA NA 0.227 NA 0.227 0.04 "Present" NA 0.05 0.055 0.213 NA 0.05 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes brignolii" "Linyphiidae" "Troglohyphantes" "brignolii" "Troglohyphantes brignolii" "urn:lsid:nmbe.ch:spidersp:013018" "Deeleman-Reinhold" 1978 0 "Slovenia, Croatia" "Croatian Biospeleological Society collection: measured samples CBSSAR 1318 female & 616 male" "Deeleman-Reinhold_1978b" "no" "Troglobiont" "Sheet" 1 1 1 0 0 "Soil + Wall" "Partly" 0 0 0 2.792 3.12 3.16 3.22 3.12 3.22 1.032 3.17 1.25 1.285 1.267 0.97 1.1 1.035 1.224 0.395 0.55 NA NA 2.64 3.12 2.88 0.909 2.93 3.4 3.165 0.998 0.279 0.296 NA 0.22 0.319 0.27 0.045 "Present" NA 0.073 0.07 0.232 NA 0.07 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes bureschianus" "Linyphiidae" "Troglohyphantes" "bureschianus" "Troglohyphantes bureschianus" "urn:lsid:nmbe.ch:spidersp:013019" "Deltshev" 1975 0 "Bulgaria" "-" "Deltshev_1975a" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 0 0 NA 2.59 NA 2.45 2.59 2.45 0.946 2.52 1.01 1.15 1.08 0.86 1.01 0.935 1.155 NA NA NA NA 1.5 1.73 1.615 0.641 1.64 NA 1.64 0.651 NA NA NA 0.17 0.25 0.21 NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes caecus" "Linyphiidae" "Troglohyphantes" "caecus" "Troglohyphantes caecus" "urn:lsid:nmbe.ch:spidersp:013020" "Fage" 1919 0 "France" "-" "Fage_1919/Dresco_1956b" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 NA 3 NA 2.7 3 2.7 0.9 2.85 NA NA NA NA NA NA NA NA NA NA NA 2.53 2.7 2.615 0.918 2.64 2.85 2.745 0.963 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes caligatus" "Linyphiidae" "Troglohyphantes" "caligatus" "Troglohyphantes caligatus" "urn:lsid:nmbe.ch:spidersp:013021" "Pesarini" 1989 0 "Italy, Switzerland" "-" "Pesarini_1989" "no" "Troglophile" "Sheet" 0 0 0 1 0 "Soil + Wall" "Fully" 0 0 0 NA 2.38 NA 2.01 2.38 2.01 0.845 2.195 0.873 0.97 0.922 0.863 0.9 0.882 1.045 0.303 0.369 0.336 0.365 1.44 1.38 1.41 0.642 1.44 1.36 1.4 0.638 NA NA NA 0.213 0.201 0.207 0.033 "Present" 0.065 0.06 0.065 0.269 0.049 0.068 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes cantabricus" "Linyphiidae" "Troglohyphantes" "cantabricus" "Troglohyphantes cantabricus" "urn:lsid:nmbe.ch:spidersp:013022" "Simon" 1911 0 "Spain" "-" "Simon_1911a/Fage_1919/ Fernández-Pérez_Castro_&_Prieto_2014" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 3.5 6 NA 5 4.75 5 1.053 4.875 NA NA NA NA NA NA NA NA NA NA NA 2.2 NA 2.2 0.451 2.2 NA 2.2 0.451 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes caporiaccoi" "Linyphiidae" "Troglohyphantes" "caporiaccoi" "Troglohyphantes caporiaccoi" "urn:lsid:nmbe.ch:spidersp:013023" "Brignoli" 1971 0 "Italy" "-" "brignoli_1971_d" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 NA 2.5 NA 2.4 2.5 2.4 0.96 2.45 1 1 1 0.75 0.8 0.775 1.29 NA NA NA NA 1.75 1.7 1.725 0.704 1.9 1.75 1.825 0.745 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes cerberus" "Linyphiidae" "Troglohyphantes" "cerberus" "Troglohyphantes cerberus" "urn:lsid:nmbe.ch:spidersp:013026" "Simon" 1884 1 "Spain, France" "unspecified if Deep or Entrance, howewer in caves." "Simon_1884a/Fage_1919" "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Variable" 0 0 1 3 6.1 NA NA 4.55 NA NA 4.55 2.5 2.4 2.45 NA NA NA NA NA NA NA NA 2 NA NA NA 2.14 NA 2.14 0.47 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes croaticus" "Linyphiidae" "Troglohyphantes" "croaticus" "Troglohyphantes croaticus" "urn:lsid:nmbe.ch:spidersp:013032" "Chyzer" 1894 1 "Croatia" "Croatian Biospeleological Society collection: mesured samples CBSSAR 2269 male & 2269 & 6678 females" "Chyzer&Kulczyński_1894/Fage_1919/Deeleman-Reinhold, C. L. (1978b). Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the Yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 2.5 2.878 2.342 2.88 2.7 2.88 1.067 2.79 0.993 1.221 1.107 0.828 1.1 0.964 1.148 0.348 0.419 0.384 0.347 2.16 2.74 2.45 0.878 2.4 3.1 2.75 0.986 0.243 0.244 NA 0.169 0.211 0.19 0.035 "Present" 0.058 0.058 0.058 0.274 0.06 0.048 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes deelemanae" "Linyphiidae" "Troglohyphantes" "deelemanae" "Troglohyphantes deelemanae" "urn:lsid:nmbe.ch:spidersp:013035" "Tanasevitch" 1987 0 "Georgia" "-" "Tanasevitch_1987" "yes" "Troglophile" "Sheet" 0 1 0 0 0 "Soil + Wall" "Fully" 0 0 0 4.35 4.35 4.22 4.22 4.35 4.22 0.97 4.285 1.8 1.85 1.825 1.35 1.45 1.4 1.304 NA NA NA NA 2.55 2.65 2.6 0.607 2.7 2.7 2.7 0.63 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes dinaricus" "Linyphiidae" "Troglohyphantes" "dinaricus" "Troglohyphantes dinaricus" "urn:lsid:nmbe.ch:spidersp:013039" "Kratochvi­l" 1948 1 "Croatia" "unspecified if Deep or Entrance, howewer in caves; Croatian Biospeleological Society collection: measured samples CBSSAR 278 female & 280 male" "Kratochvíl J (1948) Étude sur les araignées cavernicoles du genre Stygohyphantes gen. nov. Věstník Československé Zoologické Společnosti v Praze 12: 3-24" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 0 3.19 3.3 2.62 2.85 3.245 2.735 0.843 2.99 1.206 1.403 NA 1.08 1.237 NA NA 0.461 0.557 NA NA 2.55 2.4 2.475 0.828 2.67 2.51 2.59 0.866 0.275 0.335 NA 0.17 0.227 0.199 0.056 "Present" 0.072 0.066 0.067 0.329 0.074 0.057 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes draconis" "Linyphiidae" "Troglohyphantes" "draconis" "Troglohyphantes draconis" "urn:lsid:nmbe.ch:spidersp:013042" "Deeleman-Reinhold" 1978 0 "North Macedonia, Albania" "-" "Deeleman-Reinhold C L (1978b) Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220; Deltshev, C., Vrenosi, B., Blagoev, G., & Lazarov, S. (2011). Spiders of Albania – Faunistic and Zoogeographical Review (Arachnida: Araneae). Acta Zoologica Bulgarica, 63(2), 125–144." "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 NA 3.45 NA 3.12 3.45 3.12 0.904 3.285 1.3 1.44 1.37 1.06 1.15 1.105 1.24 0.37 0.48 0.425 0.31 1.87 2.06 1.965 0.598 1.92 2.16 2.04 0.621 NA NA NA NA NA NA 0.033 "Present" NA 0.043 0.05 NA NA 0.08 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes drenskii" "Linyphiidae" "Troglohyphantes" "drenskii" "Troglohyphantes drenskii" "urn:lsid:nmbe.ch:spidersp:013043" "Deltshev" 1973 0 "Bulgaria" "unspecified if Deep or Entrance, howewer in caves" " Deltshev_1973a" "yes" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 1 NA 2.93 NA 2.47 2.93 2.47 0.843 2.7 1.28 1.09 1.185 1.09 1.01 1.05 1.129 NA NA NA NA 1.83 1.74 1.785 0.661 1.92 1.83 1.875 0.694 NA NA NA 0.24 0.24 0.24 NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes excavatus" "Linyphiidae" "Troglohyphantes" "excavatus" "Troglohyphantes excavatus" "urn:lsid:nmbe.ch:spidersp:013044" "Fage" 1919 0 "Italy, Austria, Slovenia, Croatia" "Croatian Biospeleological Society collection: measured samples CBSSAR6732 male & female" "Fage, L. (1919). Biospelogica XL. Etudes sur les araignées cavernicoles. III. Sur le genre Troglohyphantes. Archives de Zoologie Expérimentale et Générale 58: 55-148, pl. 2-8. ; Caporiacco, L. di (1938d). Aracnidi cavernicoli e lucifugi di Postumia. Le Grotte d'Italia, Trieste (2a) 2: 36-41.; Deeleman-Reinhold, C. L. (1978b). Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the Yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220." "no" "Troglophile" "Sheet" 1 1 1 1 0 "Soil + Wall" "Variable" 0 0 0 2.8 3 2.724 2.3 2.9 2.3 0.793 2.6 0.96 1 0.98 0.77 0.97 0.87 1.126 0.397 0.35 0.374 0.381 2.105 2.3 2.203 0.847 2.255 2.69 2.473 0.951 0.267 0.237 NA 0.186 0.173 0.18 0.04 "Present" 0.068 0.07 0.073 0.349 0.048 0.03 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes fagei" "Linyphiidae" "Troglohyphantes" "fagei" "Troglohyphantes fagei" "urn:lsid:nmbe.ch:spidersp:013046" "Roewer" 1931 0 "Italy, Germany, Austria" "-" "Roewer_1931/Brignoli_1971d/Schenkel_1950a" "yes" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Fully" 0 0 0 2.6 3.24 2.45 2.8 2.92 2.625 0.899 2.773 1.1 1.15 1.125 0.9 1.05 0.975 1.154 NA NA NA NA 2.25 2.45 2.35 0.848 2.5 2.8 2.65 0.956 NA NA NA 0.16 0.25 0.205 0.05 "Present" 0.07 0.05 0.04 0.256 NA NA 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes fatalis" "Linyphiidae" "Troglohyphantes" "fatalis" "Troglohyphantes fatalis" "urn:lsid:nmbe.ch:spidersp:013048" "Pesarini" 1988 0 "Italy" "unspecified if Deep or Entrance, howewer in caves" "Pesarini_1988c" "yes" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 0 NA 2.89 NA 2.92 2.89 2.92 1.01 2.905 1.17 1.3 1.235 0.968 1.07 1.019 1.212 0.401 0.51 0.456 0.369 1.75 1.93 1.84 0.633 1.92 2.14 2.03 0.699 NA NA NA 0.216 0.228 0.222 0.049 "Present" 0.077 0.08 0.078 0.32 0.062 0.055 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes fugax" "Linyphiidae" "Troglohyphantes" "fugax" "Troglohyphantes fugax" "urn:lsid:nmbe.ch:spidersp:013049" "Kulczynski" 1914 1 "Bosnia and Herzegovina" "unspecified if Deep or Entrance, howewer in caves; Croatian Biospeleological Society collection: measured samples CBSSAR 791 female" "Kulczyński_1914/Fage_1919/Deeleman-Reinhold_1978b" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 2.2 4.12 NA NA 3.16 NA NA 3.16 1.54 1.45 1.495 1.295 1.18 1.238 1.208 0.506 NA NA NA 3.02 2.65 2.835 0.897 3.085 2.82 2.953 0.934 0.363 NA NA NA NA NA NA "Absent_Adaptation" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes furcifer" "Linyphiidae" "Troglohyphantes" "furcifer" "Troglohyphantes furcifer" "urn:lsid:nmbe.ch:spidersp:013050" "Simon" 1884 1 "Spain" "unspecified if Deep or Entrance, howewer in caves" "Simon_1884a/Fage_1919" "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Partly" 0 0 0 NA 3.5 NA 3.5 3.5 3.5 1 3.5 2.6 2.8 2.7 NA NA NA NA NA NA NA NA 2 NA 2 0.571 2.2 NA 2.2 0.629 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes gamsi" "Linyphiidae" "Troglohyphantes" "gamsi" "Troglohyphantes gamsi" "urn:lsid:nmbe.ch:spidersp:013051" "Deeleman-Reinhold" 1978 0 "Slovenia" "-" "Deeleman-Reinhold_1978b" "no" "Troglophile" "Sheet" 0 1 0 1 0 "Soil" "Partly" 0 0 0 NA 2.6 NA 2.4 2.6 2.4 0.923 2.5 1.2 1.06 1.13 0.96 0.86 0.91 1.242 0.38 0.38 0.38 0.336 2.3 2.64 2.47 0.988 2.45 NA 2.45 0.98 NA NA NA NA NA NA 0.055 "Present" NA 0.068 0.07 NA NA 0.025 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes gestroi" "Linyphiidae" "Troglohyphantes" "gestroi" "Troglohyphantes gestroi" "urn:lsid:nmbe.ch:spidersp:013052" "Fage" 1933 0 "Italy" "-" "Fage_1933b/Brignoli_1971d" "yes" "Troglophile" "Sheet" 0 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 4.5 3.95 4 4.05 4.225 4.025 0.953 4.125 1.7 1.95 1.825 1.3 1.55 1.425 1.281 0.523 0.611 0.567 0.311 3 3.25 3.125 0.758 3.25 3.75 3.5 0.848 NA NA NA 0.278 0.297 0.288 0.057 "Present" 0.107 0.078 0.09 0.288 0.105 0.078 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes giachinoi" "Linyphiidae" "Troglohyphantes" "giachinoi" "Troglohyphantes giachinoi" "urn:lsid:nmbe.ch:spidersp:050596" "Isaia & Mammola" 2018 0 "Italy" "-" "Isaia & Mammola_in_Mammola_et_al_2018" "yes" "Troglophile" "Sheet" 0 0 1 1 0 "Soil" "Partly" 0 0 0 NA NA NA 2.72 NA 2.72 NA 2.72 0.87 1.34 1.105 0.67 0.93 0.8 1.381 0.381 0.475 0.428 0.387 1.31 1.88 1.595 0.586 1.53 1.94 1.735 0.638 NA NA NA 0.18 0.34 0.26 0.01 "Present" 0.02 0.02 0.03 0.077 0.03 0.02 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes giromettai" "Linyphiidae" "Troglohyphantes" "giromettai" "Troglohyphantes giromettai" "urn:lsid:nmbe.ch:spidersp:013053" "Kulczynski" 1914 1 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSS AR 3188 female & 4039 male" "Kulczyński_1914/Fage_1919/Kratochvíl_1934/Deeleman-Reinhold_1978b" "no" "Troglophile" "Sheet" 0 1 0 0 0 "Soil + Wall" "Variable" 0 0 0 3.2 3.35 2.571 3 3.275 2.85 0.87 3.063 1.39 1.286 1.338 1.06 1.1 1.08 1.239 0.494 0.517 NA NA 2.69 2.4 2.545 0.831 2.83 2.67 2.75 0.898 0.2835 0.332 NA 0.22 0.265 0.243 0.245 "Present" NA 0.06 0.075 0.522 NA 0.053 1 0 0 0 1 1 0 0 0 0 0
